title;author;date;link;pdf_link;query;search_engine;nr_found;cite_count;doi;;;;;;;;
Modeling of context-aware self-adaptive applications in ubiquitous and service-oriented environments;K Geihs, R Reichle, M Wagner, MU Khan - Software engineering for self …, 2009 - Springer;2009;https://link.springer.com/chapter/10.1007/978-3-642-02161-9_8;http://www.academia.edu/download/30703907/ebooksclub.org__Software_Engineering_for_Self_Adaptive_Systems__Lecture_Notes_in_Computer_Science___Programming_and_Software_Engineering.pdf#page=155;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;53;No DOI available;;;;;;;;
A development process for requirements based service choreography;M Autili, D Di Ruscio, P Inverardi… - 2011 Workshop on …, 2011 - ieeexplore.ieee.org;2011;https://ieeexplore.ieee.org/abstract/document/6043925/;https://ieeexplore.ieee.org/iel5/6035843/6043921/06043925.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;8;No DOI available;;;;;;;;
An ontological framework for context-aware collaborative business process formulation;HH Hoang, JJ Jung - Computing and Informatics, 2015 - cai.sk;2015;http://www.cai.sk/ojs/index.php/cai/article/viewArticle/2217;http://www.cai.sk/ojs/index.php/cai/article/viewPDFInterstitial/2217/639;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;4;No DOI available;;;;;;;;
Approach and refinement strategies for flexible choreography enactment;"A Weiß, SG Sáez, M Hahn, D Karastoyanova - … Conferences"" On the Move …, 2014 - Springer";2014;https://link.springer.com/chapter/10.1007/978-3-662-45563-0_6;http://129.69.211.79/RUS-data/INPROC-2014-60%20-%20Approach%20and%20Refinement%20Strategies%20for%20Flexible%20Choreography%20Enactment.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;5;No DOI available;;;;;;;;
A conceptual model for adaptable context-aware services;M Autili, V Cortellessa, A Di Marco… - … Workshop on Web …, 2006 - neptuno.uca.es;2006;https://neptuno.uca.es/redmine/projects/sources-fm/repository/revisions/1951/raw/trunk/docs/papers/WS-MaTe_Proceedings.pdf#page=21;https://neptuno.uca.es/redmine/projects/sources-fm/repository/revisions/1951/raw/trunk/docs/papers/WS-MaTe_Proceedings.pdf#page=21;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;3;36;No DOI available;;;;;;;;
Formalizing web service choreography interface;Y Huang, C Xu, H Wang, Y Xia, J Zhu… - … Workshops (AINAW'07), 2007 - ieeexplore.ieee.org;2007;https://ieeexplore.ieee.org/abstract/document/4224165/;https://ieeexplore.ieee.org/iel5/4221005/4224052/04224165.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;13;No DOI available;;;;;;;;
A new approach for context aware SOA;SJH Yang, BCW Lan, JY Chung - 2005 IEEE International …, 2005 - ieeexplore.ieee.org;2005;https://ieeexplore.ieee.org/abstract/document/1402337/;No PDF available;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;2;21;No DOI available;;;;;;;;
Precise steps for choreography modeling for SOA validation and verification;S Wieczorek, A Roth, A Stefanescu… - 2008 IEEE International …, 2008 - ieeexplore.ieee.org;2008;https://ieeexplore.ieee.org/abstract/document/4730478/;https://ieeexplore.ieee.org/iel5/4730444/4730445/04730478.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;23;No DOI available;;;;;;;;
Context aware service composition.;M Vukovic, P Robinson - 2007 - researchgate.net;2007;https://www.researchgate.net/profile/Ichiro_Satoh/publication/221600935_Context-Aware_Service_Composition/links/559fe7ca08ae032ef0544a15.pdf;https://www.researchgate.net/profile/Ichiro_Satoh/publication/221600935_Context-Aware_Service_Composition/links/559fe7ca08ae032ef0544a15.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;8;45;No DOI available;;;;;;;;
Towards context-aware semantic web service discovery through conceptual situation spaces;S Dietze, A Gugliotta, J Domingue - Proceedings of the 2008 …, 2008 - dl.acm.org;2008;https://dl.acm.org/citation.cfm?id=1361488;http://www.academia.edu/download/30738986/a6-dietze.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;27;No DOI available;;;;;;;;
Context aware orchestration meta-model;F Seyler, C Taconet, G Bernard - … International Conference on …, 2007 - ieeexplore.ieee.org;2007;https://ieeexplore.ieee.org/abstract/document/4437894/;https://ieeexplore.ieee.org/iel5/4437870/4437871/04437894.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;6;No DOI available;;;;;;;;
A context-aware adaptive web service composition framework;Z Cao, X Zhang, W Zhang, X Xie… - 2015 IEEE International …, 2015 - ieeexplore.ieee.org;2015;https://ieeexplore.ieee.org/abstract/document/7078668/;https://ieeexplore.ieee.org/iel7/7076746/7078645/07078668.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;7;No DOI available;;;;;;;;
Interoperability Challenges for Context Aware Logistics Services-the Case of Synchromodal Logistics.;PM Singh, M van Sinderen - IWEI Workshops, 2015 - core.ac.uk;2015;https://core.ac.uk/download/pdf/31152600.pdf;https://core.ac.uk/download/pdf/31152600.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;8;No DOI available;;;;;;;;
Towards modeling real-world aware business processes;S Meyer, K Sperner, C Magerkurth… - Proceedings of the …, 2011 - dl.acm.org;2011;https://dl.acm.org/citation.cfm?id=1993978;https://www.researchgate.net/profile/Carsten_Magerkurth/publication/221562925_Towards_modeling_real-world_aware_business_processes/links/0046352e230332ad59000000.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;62;No DOI available;;;;;;;;
Automatically deriving choreography-conforming systems of services;G Díaz, I Rodríguez - 2009 IEEE International Conference on …, 2009 - ieeexplore.ieee.org;2009;https://ieeexplore.ieee.org/abstract/document/5284025/;https://ieeexplore.ieee.org/iel5/5283889/5283890/05284025.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;18;No DOI available;;;;;;;;
A context aware service-oriented maintenance system for the B2B sector;E Zeeb, S Prueter, F Golatowski… - … (aina workshops 2008), 2008 - ieeexplore.ieee.org;2008;https://ieeexplore.ieee.org/abstract/document/4483112/;https://ieeexplore.ieee.org/iel5/4482830/4482831/04483112.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;12;No DOI available;;;;;;;;
Data flow testing of service choreography;L Mei, WK Chan, TH Tse - Proceedings of the the 7th joint meeting of the …, 2009 - dl.acm.org;2009;https://dl.acm.org/citation.cfm?id=1595720;https://hub.hku.hk/bitstream/10722/65598/3/800155836.pdf?accept=1;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;51;No DOI available;;;;;;;;
Context aware differentiated services development with configurable business processes;A Tao, J Yang - 11th IEEE International Enterprise Distributed …, 2007 - ieeexplore.ieee.org;2007;https://ieeexplore.ieee.org/abstract/document/4383997/;https://ieeexplore.ieee.org/iel5/4383963/4383964/04383997.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;15;No DOI available;;;;;;;;
Insights into web service orchestration and choreography;F Daniel, B Pernici - International Journal of E-Business Research …, 2006 - igi-global.com;2006;https://www.igi-global.com/article/insights-into-web-service-orchestration/1854;https://www.igi-global.com/viewtitle.aspx?titleid=1854;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;57;No DOI available;;;;;;;;
Context for personalized web services;Z Maamar, SK Mostefaoui… - Proceedings of the 38th …, 2005 - ieeexplore.ieee.org;2005;https://ieeexplore.ieee.org/abstract/document/1385569/;https://ieeexplore.ieee.org/iel5/9518/30166/01385569.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;83;No DOI available;;;;;;;;
Service-oriented middleware for the future internet: state of the art and research directions;V Issarny, N Georgantas, S Hachem, A Zarras… - Journal of Internet …, 2011 - Springer;2011;https://link.springer.com/article/10.1007/s13174-011-0021-3;https://link.springer.com/article/10.1007/s13174-011-0021-3;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;5;161;No DOI available;;;;;;;;
Event based choreography;V Ciancia, G Ferrari, R Guanciale, D Strollo - Science of Computer …, 2010 - Elsevier;2010;https://www.sciencedirect.com/science/article/pii/S016764231000047X;https://www.sciencedirect.com/science/article/pii/S016764231000047X/pdf?md5=80ca7c96b4b3620c122a1948eaac9b27&pid=1-s2.0-S016764231000047X-main.pdf&_valck=1;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;9;No DOI available;;;;;;;;
Service interoperability on context level in ubiquitous computing environments;T Strang, C Linnhoff-Popien - Intl. Conf. on Advances in Infrastructure for …, 2003 - Citeseer;2003;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.11.9316&rep=rep1&type=pdf;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.11.9316&rep=rep1&type=pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;2;62;No DOI available;;;;;;;;
Context-aware intelligent service system for coal mine industry;X Xue, J Chang, Z Liu - Computers in Industry, 2014 - Elsevier;2014;https://www.sciencedirect.com/science/article/pii/S0166361513002406;No PDF available;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;15;No DOI available;;;;;;;;
Macro and micro context-awareness for autonomic pervasive computing;B Abdulrazak, P Roy, C Gouin-Vallerand… - Proceedings of the 12th …, 2010 - dl.acm.org;2010;https://dl.acm.org/citation.cfm?id=1967553;http://www.academia.edu/download/42086756/Macro_and_micro_context-awareness_for_au20160204-30232-1a40obh.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;30;No DOI available;;;;;;;;
A requirements-led approach for specifying qos-aware service choreographies: An experience report;N Maiden, J Lockerbie, K Zachos, A Bertolino… - … Working Conference on …, 2014 - Springer;2014;https://link.springer.com/chapter/10.1007/978-3-319-05843-6_18;http://openaccess.city.ac.uk/15055/1/REFSQ2014forCRO.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;4;No DOI available;;;;;;;;
A context-aware framework for dynamic composition of process fragments in the internet of services;A Bucchiarone, A Marconi, M Pistore… - Journal of Internet …, 2017 - biomedcentral.com;2017;https://www.biomedcentral.com/openurl?doi=10.1186/s13174-017-0057-0;https://www.biomedcentral.com/openurl?doi=10.1186/s13174-017-0057-0;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;4;10;No DOI available;;;;;;;;
Context-aware Integration of Collaboration Services for the Support of Mobile Field Operations.;HJ Eikerling, M Benesch, F Berger, S Bublitz - CCE, 2007 - cs.emis.de;2007;http://cs.emis.de/LNI/Proceedings/Proceedings120/gi-proc-120-013.pdf;http://cs.emis.de/LNI/Proceedings/Proceedings120/gi-proc-120-013.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;4;No DOI available;;;;;;;;
Multi-staged and multi-viewpoint service choreography modelling;A Barros, G Decker, M Dumas - Proceedings of the …, 2007 - bpt.hpi.uni-potsdam.de;2007;http://bpt.hpi.uni-potsdam.de/pub/Public/GeroDecker/semsoa2007.pdf;http://bpt.hpi.uni-potsdam.de/pub/Public/GeroDecker/semsoa2007.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;31;No DOI available;;;;;;;;
A novel process network model for interacting context-aware web services;X Zhang, H Liu, A Abraham - IEEE Transactions on Services …, 2013 - ieeexplore.ieee.org;2013;https://ieeexplore.ieee.org/abstract/document/6148208/;https://ieeexplore.ieee.org/iel5/4629386/4629387/06148208.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;21;No DOI available;;;;;;;;
A Ubiquitous and Context-Aware Framework for Supporting Virtual Engineering Services;JY Lee, DW Seo, K Kim, H Kim - Computer-Aided Design and …, 2005 - Taylor & Francis;2005;https://www.tandfonline.com/doi/abs/10.1080/16864360.2005.10738340;https://www.tandfonline.com/doi/pdf/10.1080/16864360.2005.10738340;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;2;No DOI available;;;;;;;;
CCMF; Computational Context Modeling Framework-An Ontological Approach to Develop Context-Aware Web Applications;LP Carvalho, PC da Silva - Semantics in Action-Applications and …, 2012 - intechopen.com;2012;https://www.intechopen.com/download/pdf/36060;https://www.intechopen.com/download/pdf/36060;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;2;2;No DOI available;;;;;;;
A context-aware framework for flowable services;RY Shtykh, Y Zhu, Q Jin - 2009 Third International Conference …, 2009 - ieeexplore.ieee.org;2009;https://ieeexplore.ieee.org/abstract/document/5318892/;https://ieeexplore.ieee.org/iel5/5318882/5318883/05318892.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;6;No DOI available;;;;;;;;
Towards context-aware multimedia processing through semantic web services;S Dietze, JB Domingue - Proceedings of the 7th European Conference …, 2009 - dl.acm.org;2009;https://dl.acm.org/citation.cfm?id=1542107;http://www.academia.edu/download/31008881/towards_context_aware_composition_of_web_services.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;6;6;No DOI available;;;;;;;;
Component-oriented approaches to context-aware computing;S Dobson - European Conference on Object-Oriented …, 2004 - Springer;2004;https://link.springer.com/chapter/10.1007/978-3-540-30554-5_9;http://www.academia.edu/download/30801113/COACAC-04.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;2;No DOI available;;;;;;;;
Web service in context and dependency-aware service composition;J Zhou, E Niemelä, J Perälä… - The 2nd IEEE Asia …, 2007 - ieeexplore.ieee.org;2007;https://ieeexplore.ieee.org/abstract/document/4414481/;http://www.mediateam.oulu.fi/publications/pdf/1161.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;4;No DOI available;;;;;;;;
Service-oriented computing: State of the art and research challenges;MP Papazoglou, P Traverso, S Dustdar… - Computer, 2007 - ieeexplore.ieee.org;2007;https://ieeexplore.ieee.org/abstract/document/4385255/;https://ieeexplore.ieee.org/iel5/2/4385238/04385255.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;1595;No DOI available;;;;;;;;
Using sla context to ensure quality of service for composite services;D Dyachuk, R Deters - IEEE International Conference on …, 2007 - ieeexplore.ieee.org;2007;https://ieeexplore.ieee.org/abstract/document/4283890/;https://www.researchgate.net/profile/Ralph_Deters/publication/4266280_Using_SLA_Context_to_Ensure_Quality_of_Service_for_Composite_Services/links/00b495236035db8730000000/Using-SLA-Context-to-Ensure-Quality-of-Service-for-Composite-Services.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;11;No DOI available;;;;;;;;
Context-Aware interaction models in cross-organizational processes;F Skopik, D Schall, S Dustdar… - 2010 Fifth International …, 2010 - ieeexplore.ieee.org;2010;https://ieeexplore.ieee.org/abstract/document/5476794/;https://ieeexplore.ieee.org/iel5/5476375/5476480/05476794.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;9;No DOI available;;;;;;;;
Toward an agent-based and context-oriented approach for web services composition;Z Maamar, H Yahyaoui - IEEE Transactions on Knowledge & Data …, 2005 - computer.org;2005;https://www.computer.org/csdl/trans/tk/2005/05/k0686-abs.html;https://www.researchgate.net/profile/Zakaria_Maamar/publication/220073535_Toward_an_Agent-Based_and_Context-Oriented_Approach_for_Web_Services_Composition_-_Appendices/links/54200ab00cf2218008d43638.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;3;259;No DOI available;;;;;;;;
Context-Aware Composition and Adaptation based on Model Transformation.;J Cubo, C Canal, E Pimentel - J. UCS, 2011 - jucs.org;2011;http://jucs.org/jucs_17_5/context_aware_composition_and/jucs_17_05_0777_0806_cubo.pdf;https://pdfs.semanticscholar.org/59e6/f61fd53a61f2280b4adf7d0b745067c27a16.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;11;No DOI available;;;;;;;;
Integrating Social Networks for Context Fusion in Mobile Service Platforms.;JJ Jung - J. UCS, 2010 - jucs.org;2010;http://jucs.org/jucs_16_15/integrating_social_networks_for/jucs_16_15_2099_2110_jung.pdf;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.634.6371&rep=rep1&type=pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;2;36;No DOI available;;;;;;;;
An adaptive and context-aware scenario model based on a web service architecture for pervasive learning systems;C Pham-Nguyen, S Garlatti, BYS Lau… - International Journal of …, 2009 - igi-global.com;2009;https://www.igi-global.com/article/adaptive-context-aware-scenario-model/34064;https://www.igi-global.com/viewtitle.aspx?titleid=34064;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;13;No DOI available;;;;;;;;
Towards a decision-support system for selecting the appropriate business process modeling formalism: a context-aware roadmap;A Awadid, S Nurcan, SA Ghannouchi - Enterprise, Business-Process and …, 2017 - Springer;2017;https://link.springer.com/chapter/10.1007/978-3-319-59466-8_15;No PDF available;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;3;No DOI available;;;;;;;;
Scriptorc: A specification language for web service choreography;AK Bhattacharjee… - 2008 IEEE Asia-Pacific …, 2008 - ieeexplore.ieee.org;2008;https://ieeexplore.ieee.org/abstract/document/4780823/;https://ieeexplore.ieee.org/iel5/4780614/4780615/04780823.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;8;No DOI available;;;;;;;;
Checking compatibility of context-aware service protocols;C Gao, J Wei - Proceedings of 2011 IEEE 6th International …, 2011 - ieeexplore.ieee.org;2011;https://ieeexplore.ieee.org/abstract/document/6139125/;No PDF available;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;2;No DOI available;;;;;;;;
C2IoT: A framework for Cloud-based Context-aware Internet of Things services for smart cities;S Faieq, R Saidi, H Elghazi, MD Rahmani - Procedia Computer Science, 2017 - Elsevier;2017;https://www.sciencedirect.com/science/article/pii/S1877050917312486;https://www.sciencedirect.com/science/article/pii/S1877050917312486/pdf?md5=6ec8c01090ea5a70108535ca470c4db0&isDTMRedir=Y&pid=1-s2.0-S1877050917312486-main.pdf&_valck=1;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;2;6;No DOI available;;;;;;;;
Extending a shared workspace environment with context-based adaptations;D Veiel, JM Haake, S Lukosch - International Conference on Collaboration …, 2009 - Springer;2009;https://link.springer.com/chapter/10.1007/978-3-642-04216-4_14;No PDF available;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;13;No DOI available;;;;;;;;
QoS-aware service composition in service overlay networks;Y Li, JP Huai, T Deng, HL Sun… - … Conference on Web …, 2007 - ieeexplore.ieee.org;2007;https://ieeexplore.ieee.org/abstract/document/4279662/;https://ieeexplore.ieee.org/iel5/4279552/4279553/04279662.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;2;36;No DOI available;;;;;;;;
Turning software into a service;M Turner, D Budgen, P Brereton - Computer, 2003 - ieeexplore.ieee.org;2003;https://ieeexplore.ieee.org/abstract/document/1236470/;https://ieeexplore.ieee.org/iel5/2/27718/01236470.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;703;No DOI available;;;;;;;;
Context-based cooperation in mobile business environments;S Zaplata, CP Kunze, W Lamersdorf - Business & Information Systems …, 2009 - Springer;2009;https://link.springer.com/article/10.1007/s12599-009-0060-5;https://link.springer.com/article/10.1007/s12599-009-0060-5;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;5;20;No DOI available;;;;;;;;
Security-aware web service composition approaches: State-of-the-art;H Movahednejad, SB Ibrahim, M Sharifi… - Proceedings of the 13th …, 2011 - dl.acm.org;2011;https://dl.acm.org/citation.cfm?id=2095557;No PDF available;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;3;8;No DOI available;;;;;;;;
Context-aware process support through automatic selection and invocation of semantic web services;S Dietze, A Gugliotta… - … Conference on Service …, 2007 - ieeexplore.ieee.org;2007;https://ieeexplore.ieee.org/abstract/document/4273427/;https://ieeexplore.ieee.org/iel5/4273393/4273394/04273427.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;4;No DOI available;;;;;;;;
Modeling and design of service-oriented architecture;Z Stojanovic, A Dahanayake… - 2004 IEEE International …, 2004 - ieeexplore.ieee.org;2004;https://ieeexplore.ieee.org/abstract/document/1401181/;https://ieeexplore.ieee.org/iel5/9622/30426/01401181.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;5;120;No DOI available;;;;;;;;
Development support for QoS-aware service-adaptation in ubiquitous computing applications;K Geihs, C Evers, R Reichle, M Wagner… - Proceedings of the 2011 …, 2011 - dl.acm.org;2011;https://dl.acm.org/citation.cfm?id=1982232;No PDF available;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;20;No DOI available;;;;;;;;
An engineering method for adaptive; context-aware web applications;JW Kaltz - 2006 - duepublico.uni-duisburg-essen.de;2006;https://duepublico.uni-duisburg-essen.de/servlets/DocumentServlet?id=5714;https://duepublico.uni-duisburg-essen.de/servlets/DerivateServlet/Derivate-5714/diss_kaltz.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;10;No DOI available;;;;;;;
Equivalence of web services in process-aware service compositions;S Rinderle-Ma, M Reichert… - 2009 IEEE International …, 2009 - ieeexplore.ieee.org;2009;https://ieeexplore.ieee.org/abstract/document/5175862/;https://ieeexplore.ieee.org/iel5/5175785/5175786/05175862.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;13;No DOI available;;;;;;;;
Adaptable service composition for very-large-scale internet of things systems;K Dar, A Taherkordi, R Rouvoy, F Eliassen - Proceedings of the 8th …, 2011 - dl.acm.org;2011;https://dl.acm.org/citation.cfm?id=2093192;https://www.researchgate.net/profile/Frank_Eliassen/publication/254004625_Adaptable_Service_Composition_for_Very-Large-Scale_Internet_of_Things_Systems/links/53d603700cf228d363ea1c15.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;7;41;No DOI available;;;;;;;;
Process-centric engineering web services in a distributed and collaborative environment;JY Lee, S Lee, K Kim, H Kim, CH Kim - Computers & Industrial Engineering, 2006 - Elsevier;2006;https://www.sciencedirect.com/science/article/pii/S0360835206000969;No PDF available;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;30;No DOI available;;;;;;;;
CA-Graph: A Context Aware Graph to model Enterprise Service Bus;J Chanda, S Sengupta, A Kanjilal… - 2010 Annual IEEE …, 2010 - ieeexplore.ieee.org;2010;https://ieeexplore.ieee.org/abstract/document/5712653/;https://ieeexplore.ieee.org/iel5/5708290/5712577/05712653.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;1;No DOI available;;;;;;;;
Towards creating context-aware dynamically-adaptable business processes using complex event processing;G Hermosillo - 2012 - tel.archives-ouvertes.fr;2012;https://tel.archives-ouvertes.fr/tel-00709303/;https://tel.archives-ouvertes.fr/tel-00709303/document;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;2;5;No DOI available;;;;;;;;
An HTTP-based Context Negotiation Model for Realizing the User-Aware Web;JI Vázquez, D López de Ipiña - 1st International Workshop on …, 2005 - academia.edu;2005;http://www.academia.edu/download/42182532/VazquezIWI2005Final.pdf;http://www.academia.edu/download/42182532/VazquezIWI2005Final.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;2;5;No DOI available;;;;;;;;
A survey of dynamic service composition approaches for ambient systems;A Urbieta, G Barrutieta, J Parra… - Proceedings of the 2008 …, 2008 - dl.acm.org;2008;https://dl.acm.org/citation.cfm?id=1413928;No PDF available;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;2;56;No DOI available;;;;;;;;
