title;author;date;link;pdf_link;query;search_engine;nr_found;cite_count;doi;nix;nix;nix;nix;;;;
Event-driven scientific workflow execution;Z Zhao, A Paschke - International Conference on Business Process …, 2012 - Springer;2012;https://link.springer.com/chapter/10.1007/978-3-642-36285-9_42;No PDF available;context-dependent+AND+decentralized+service+composition+AND+adapt_GoogleScholar.csv;GoogleScholar;1;8;No DOI available;;;;;;;;
Autonomous participation in cloud services;J Spillner, C Piechnick, C Wilke, U Abmann… - Proceedings of the 2012 …, 2012 - dl.acm.org;2012;https://dl.acm.org/citation.cfm?id=2415737;https://ieeexplore.ieee.org/iel5/6423131/6424908/06424962.pdf;context-dependent+AND+decentralized+service+composition+AND+adapt_GoogleScholar.csv;GoogleScholar;1;5;No DOI available;;;;;;;;
Certification-based cloud adaptation;CA Ardagna, R Asal, E Damiani… - … on Services …, 2018 - ieeexplore.ieee.org;2018;https://ieeexplore.ieee.org/abstract/document/8259034/;https://ieeexplore.ieee.org/iel7/4629386/4629387/08259034.pdf;context-dependent+AND+decentralized+service+composition+AND+adapt_GoogleScholar.csv;GoogleScholar;1;6;No DOI available;;;;;;;;
Engineering pervasive service ecosystems: the sapere approach;G Castelli, M Mamei, A Rosi, F Zambonelli - ACM Transactions on …, 2015 - dl.acm.org;2015;https://dl.acm.org/citation.cfm?id=2700321;http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:xS2TMgqXHvsJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=2135290743520943186&oi=lle;context-dependent+AND+decentralized+service+composition+AND+adapt_GoogleScholar.csv;GoogleScholar;1;23;No DOI available;;;;;;;;
A review of the principles of designing smart cyber-physical systems for run-time adaptation: Learned lessons and open issues;J Tavčar, I Horváth - IEEE Transactions on Systems, Man, and …, 2018 - ieeexplore.ieee.org;2018;https://ieeexplore.ieee.org/abstract/document/8329014/;https://ieeexplore.ieee.org/iel7/6221021/8577049/08329014.pdf;context-dependent+AND+decentralized+service+composition+AND+adapt_GoogleScholar.csv;GoogleScholar;1;8;No DOI available;;;;;;;;
Context-awareness;B Gonçalves, P Costa, LM Botelho - … : Intelligent Service Coordination in the …, 2008 - Springer;2008;https://link.springer.com/chapter/10.1007/978-3-7643-8575-0_5;https://pdfs.semanticscholar.org/39ea/6a1a008008d78020b92a4ae13582c01cd01a.pdf;context-dependent+AND+decentralized+service+composition+AND+adapt_GoogleScholar.csv;GoogleScholar;1;4;No DOI available;;;;;;;;
Collaborative service ecosystem-step towards the world of ubiquitous services;O Khriyenko - Proceedings of the IADIS Multi Conference on …, 2012 - researchgate.net;2012;https://www.researchgate.net/profile/Piet_Kommers/publication/323277996_WBC_CT_2012/links/5a8ba095aca272017e63ae0e/WBC-CT-2012.pdf#page=206;https://www.researchgate.net/profile/Piet_Kommers/publication/323277996_WBC_CT_2012/links/5a8ba095aca272017e63ae0e/WBC-CT-2012.pdf#page=206;context-dependent+AND+decentralized+service+composition+AND+adapt_GoogleScholar.csv;GoogleScholar;1;3;No DOI available;;;;;;;;
Employee strain and job satisfaction related to an implementation of quality in a public service organization: a longitudinal study;C Korunka, D Scharitzer, P Carayon, F Sainfort - Work & Stress, 2003 - Taylor & Francis;2003;https://www.tandfonline.com/doi/abs/10.1080/0267837031000109526;http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:on1pfcOQg4wJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=424774802315289226&oi=lle;context-dependent+AND+decentralized+service+composition+AND+behaviou_GoogleScholar.csv;GoogleScholar;1;146;No DOI available;;;;;;;;
Trustworthy interaction balancing in mixed service-oriented systems;F Skopik, D Schall, S Dustdar - … of the 2010 ACM Symposium on Applied …, 2010 - dl.acm.org;2010;https://dl.acm.org/citation.cfm?id=1774255;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.442.8941&rep=rep1&type=pdf;context-dependent+AND+decentralized+service+composition+AND+behaviou_GoogleScholar.csv;GoogleScholar;1;32;No DOI available;;;;;;;;
A context-centric security middleware for service provisioning in pervasive computing;A Corradi, R Montanari, D Tibaldi… - The 2005 Symposium …, 2005 - ieeexplore.ieee.org;2005;https://ieeexplore.ieee.org/abstract/document/1386143/;http://www.lia.deis.unibo.it/Staff/AlessandraToninelli/Publications/SAINT05.pdf;context-dependent+AND+decentralized+service+composition+AND+behaviou_GoogleScholar.csv;GoogleScholar;1;24;No DOI available;;;;;;;;
